,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,0.7012032866477966,0.8935656547546387,0.6673811078071594,0.7551715970039368,0.8906261324882507,0.7125363945960999,0.7714197039604187,0.6691443920135498,0.7354395985603333,0.6748120188713074,0.7101157307624817,0.7116243839263916,0.7582542300224304,0.7925199270248413,0.6714396476745605,0.6752006411552429,0.7433875203132629,0.6845436096191406,0.7135576009750366,0.7572596073150635,0.7902771234512329,0.7975602746009827,0.6807627081871033,0.6804646849632263,0.6815825700759888,0.6520249843597412,0.700727105140686,0.657691240310669,0.7224624156951904,0.7834792137145996,0.6655153632164001,0.6783857941627502,0.6760022044181824,0.7151884436607361,0.6805517673492432,0.7259272933006287,0.7746263742446899,0.752735435962677,0.7401466369628906,0.7381570935249329,0.6413543820381165,0.7167263627052307,0.7357981204986572,0.6794490218162537,0.7061666250228882,0.7551261782646179,0.7164362072944641,0.7747853994369507,0.7521042823791504,0.685410737991333,0.7677569389343262,0.7013939023017883,0.7318820357322693,0.6866864562034607,0.6977047920227051,0.7674813270568848,0.6829018592834473,0.6950724124908447,0.6821240186691284,0.7842088937759399,0.6773848533630371,0.7007286548614502,0.6960968971252441,0.6560168266296387,0.7527511119842529,0.7810317277908325,0.6912268996238708,0.6896589398384094,0.728354811668396,0.7108257412910461,0.9084488153457642,0.7132165431976318,0.7557508945465088,0.7013900876045227,0.7541321516036987,0.7519680857658386,0.8208285570144653,0.6642778515815735,0.6885268688201904,0.7973802089691162,0.697836697101593,0.8489550948143005,0.7083740234375,0.6843065619468689,0.6652501821517944,0.7197508215904236,0.727644145488739,0.8499006032943726,0.7066748738288879,0.661369264125824,0.7577492594718933,0.7682241797447205,0.6929065585136414,0.6482223272323608,0.8751610517501831,0.659624457359314,0.6974035501480103,0.7142350673675537,0.7304311394691467,0.7842434644699097,0.8210777044296265,0.6619694232940674,0.7083486318588257,0.6858912110328674,0.9446053504943848,0.7013592720031738,0.723763108253479,0.6686943173408508,0.699392557144165
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.6774893403053284,0.6741487979888916,0.684013843536377,0.6935417056083679,0.6606963276863098,0.6909879446029663,0.6825681924819946,0.6705583333969116,0.6896623969078064,0.6922139525413513,0.6925310492515564,0.6649646759033203,0.691943883895874,0.688462495803833,0.6940858364105225,0.6840771436691284,0.6903140544891357,0.6644888520240784,0.6922980546951294,0.6918871402740479,0.6692248582839966,0.691673994064331,0.6900280714035034,0.6903672814369202,0.6759479641914368,0.6757497191429138,0.6682884693145752,0.6132327914237976,0.6877110004425049,0.6595659852027893,0.628455400466919,0.6628690361976624,0.6525598764419556,0.6927992105484009,0.6995088458061218,0.6130436658859253,0.6930467486381531,0.6868745684623718,0.697710394859314,0.6924459934234619,0.677954912185669,0.6963589191436768,0.6925939321517944,0.678999125957489,0.6658637523651123,0.6818193793296814,0.6886279582977295,0.6950415968894958,0.6900224089622498,0.6848902702331543,0.7600401043891907,1.5382208824157717,1.0054054260253906,1.1529632806777954,2.286191701889038,1.201282024383545,1.08014976978302,0.8393010497093201,0.7847880721092224,1.023624300956726,0.9656510949134828,0.8847587704658508,0.8478859663009644,1.069536209106445,1.0928634405136108,0.8650860786437988,1.078089952468872,0.9281018972396852,1.1734462976455688,1.8009027242660522,0.778199315071106,1.1460328102111816,1.069467544555664,1.860526442527771,2.2061431407928467,1.2084803581237793,0.8564140200614929,1.2315716743469238,1.317131757736206,1.0672284364700315,0.7480930089950562,1.9755061864852903,0.9843627214431764,1.2317538261413574,1.1402615308761597,1.228397250175476,1.1288588047027588,1.6778242588043213,0.9919888377189636,0.8142629265785217,1.193864345550537,1.7254823446273804,1.1536931991577148,1.5441148281097412,0.8939615488052368,0.8925487995147705,1.4287707805633545,0.8607637286186218,0.9428593516349792,1.567735195159912,1.2863274812698364,0.7880734801292419,1.0591148138046265,1.85076105594635,1.920814514160156,0.903014063835144,1.8131489753723145,1.1859614849090576,1.363707423210144
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
