,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50
0,0.5719980069755854,0.6163428001993024,0.5371200797209765,0.5744892874937718,0.5371200797209765,0.5241654210264076,0.617339312406577,0.56751370204285,0.4932735426008968,0.593423019431988,0.5301444942700548,0.5336322869955157,0.42152466367713,0.6168410563029397,0.4877927254608869,0.5256601893373194,0.5719980069755854,0.5645241654210265,0.5426008968609866,0.536123567513702,0.6552067762830095,0.6003986048829099,0.6143497757847534,0.6073741903338316,0.6103637269556552,0.5161933233682112,0.6621823617339312,0.6193323368211261,0.4519182859990034,0.5246636771300448,0.5017438963627304,0.5460886895864474,0.5366218236173393,0.5615346287992028,0.5171898355754858,0.6228201295465869,0.5764823119083209,0.5759840558046836,0.536123567513702,0.6088689586447434,0.5266567015445939,0.5007473841554559,0.5276532137518685,0.5954160438465371,0.536123567513702,0.558046836073742,0.5450921773791729,0.4569008470353762,0.5421026407573493,0.4952665670154459
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
